ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
19764,16.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
20086,16.68,1.72,0.48,-0.11,-0.12,-0.12,0.15
20236,17.71,1.72,0.48,-0.11,-0.12,-0.12,0.15
20255,18.45,1.72,0.48,-0.11,-0.12,-0.12,0.15
20425,20.51,1.72,0.48,-0.11,-0.12,-0.12,0.15
20429,17.73,1.72,0.48,-0.11,-0.12,-0.12,0.15
20460,15.42,1.72,0.48,-0.11,-0.12,-0.12,0.15
20790,16.65,1.72,0.48,-0.11,-0.12,-0.12,0.15
20826,13.89,1.72,0.48,-0.11,-0.12,-0.12,0.15
21088,14.43,1.72,0.48,-0.11,-0.12,-0.12,0.15
21277,16.17,1.72,0.48,-0.11,-0.12,-0.12,0.15
21374,17.47,1.72,0.48,-0.11,-0.12,-0.12,0.15
22099,18.09,1.72,0.48,-0.11,-0.12,-0.12,0.15
22753,17.69,1.72,0.48,-0.11,-0.12,-0.12,0.15
22771,16.96,1.72,0.48,-0.11,-0.12,-0.12,0.15
23183,16.07,1.72,0.48,-0.11,-0.12,-0.12,0.15
23187,16.06,1.72,0.48,-0.11,-0.12,-0.12,0.15
23548,17.13,1.72,0.48,-0.11,-0.12,-0.12,0.15
23606,18.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
23714,16.85,1.72,0.48,-0.11,-0.12,-0.12,0.15
24443,16.42,1.72,0.48,-0.11,-0.12,-0.12,0.15
24445,14.72,1.72,0.48,-0.11,-0.12,-0.12,0.15
24475,16.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
24761,17.43,1.72,0.48,-0.11,-0.12,-0.12,0.15
25143,19.26,1.72,0.48,-0.11,-0.12,-0.12,0.15
25330,16.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
25916,13.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
26166,16.82,1.72,0.48,-0.11,-0.12,-0.12,0.15
26310,19.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
26379,18.2,1.72,0.48,-0.11,-0.12,-0.12,0.15
26663,18.2,1.72,0.48,-0.11,-0.12,-0.12,0.15
26760,15.5,1.72,0.48,-0.11,-0.12,-0.12,0.15
26817,19.49,1.72,0.48,-0.11,-0.12,-0.12,0.15
27002,18.31,1.72,0.48,-0.11,-0.12,-0.12,0.15
27031,17.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
27346,15.9,1.72,0.48,-0.11,-0.12,-0.12,0.15
29075,17.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
30825,14.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
30997,17.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
31210,16.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
31221,17.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
31345,17.62,1.72,0.48,-0.11,-0.12,-0.12,0.15
31346,17.24,1.72,0.48,-0.11,-0.12,-0.12,0.15
31662,19.54,1.72,0.48,-0.11,-0.12,-0.12,0.15
31669,16.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
32906,16.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
33342,18.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
34613,16.08,1.72,0.48,-0.11,-0.12,-0.12,0.15
35107,16.91,1.72,0.48,-0.11,-0.12,-0.12,0.15
35396,17.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
35432,19.39,1.72,0.48,-0.11,-0.12,-0.12,0.15
35670,19.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
36017,19.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
36183,16.33,1.72,0.48,-0.11,-0.12,-0.12,0.15
36236,15.98,1.72,0.48,-0.11,-0.12,-0.12,0.15
36284,15.05,1.72,0.48,-0.11,-0.12,-0.12,0.15
37336,15.79,1.72,0.48,-0.11,-0.12,-0.12,0.15
37638,19.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
37655,17.85,1.72,0.48,-0.11,-0.12,-0.12,0.15
38071,19.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
38086,17.35,1.72,0.48,-0.11,-0.12,-0.12,0.15
38091,16.3,1.72,0.48,-0.11,-0.12,-0.12,0.15
38239,18.26,1.72,0.48,-0.11,-0.12,-0.12,0.15
