ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
387449,60410.29183,204.6843632,8.5256584,204.1839213,7.9098488,1.5e-05,i,23.143,23.122,0.134,0.131,23.72,23.718
39265,60411.22278,183.7822018,-31.9683561,184.0139473,-31.0101394,2.8e-06,g,18.657,18.627,0.002,0.002,24.927,24.919
39265,60411.24696,183.7822018,-31.9683561,184.0082052,-31.0077207,2.8e-06,r,18.004,17.98,0.002,0.002,24.312,24.304
387449,60412.21638,202.1961898,7.8606109,203.814854,8.0541457,1.28e-05,r,23.299,23.35,0.106,0.104,24.172,24.102
387449,60412.21862,205.1318972,8.585858,203.81439,8.0543073,1.21e-05,r,23.458,23.364,0.101,0.1,24.191,24.154
387449,60412.24264,205.1318972,8.585858,203.8096252,8.0560309,2.19e-05,i,23.172,23.138,0.158,0.156,23.546,23.51
39265,60413.1022,182.1016585,-29.847999,183.5801327,-30.8210776,2.8e-06,r,18.02,17.989,0.002,0.002,24.397,24.329
39265,60414.22217,181.6621325,-31.2405931,183.3252561,-30.7051681,2.9e-06,r,18.003,18.003,0.003,0.003,23.376,23.323
39265,60414.24607,181.6621325,-31.2405931,183.3197769,-30.7026402,3e-06,i,17.813,17.806,0.004,0.004,22.756,22.703
39265,60424.1689,182.4994442,-29.2493868,181.2427733,-29.5920035,3e-06,y,17.964,17.947,0.009,0.009,21.769,21.754
39265,60424.19153,182.4994442,-29.2493868,181.2383591,-29.5893193,3.2e-06,y,17.95,17.969,0.01,0.01,21.548,21.533
39265,60424.21671,182.4994442,-29.2493868,181.2334418,-29.5863186,3e-06,i,17.895,17.9,0.007,0.007,22.084,22.069
39265,60424.24052,182.4994442,-29.2493868,181.2288137,-29.5834857,3.1e-06,z,17.959,17.936,0.008,0.008,21.931,21.916
39265,60425.04509,181.3900564,-28.9727969,181.0770148,-29.4884346,2.8e-06,z,17.976,17.963,0.005,0.005,22.651,22.651
39265,60425.06905,181.3900564,-28.9727969,181.0724091,-29.4856096,2.8e-06,y,17.989,17.964,0.006,0.006,22.259,22.259
632,60426.96975,136.7340669,12.2432215,137.1521492,10.8474523,2.27e-05,r,23.131,23.029,0.133,0.133,23.621,23.579
632,60426.97064,137.6919103,9.2401203,137.1521481,10.8475318,2.4e-05,r,23.191,23.291,0.136,0.136,23.638,23.552
632,60426.98146,137.6919103,9.2401203,137.1526859,10.8474604,2.59e-05,i,23.072,22.975,0.158,0.158,23.348,23.263
39265,60427.22316,181.6882319,-29.3941104,180.6761794,-29.2283568,2.9e-06,z,17.993,17.976,0.006,0.006,22.427,22.422
387449,60430.12481,200.5041267,10.2788879,200.5624314,8.8891603,7.73e-05,g,23.55,24.215,0.305,0.305,23.583,23.548
39265,60431.00252,181.5037149,-28.7645167,180.0295962,-28.7708068,2.9e-06,g,18.823,18.809,0.003,0.003,24.149,24.123
39265,60431.00297,177.9221851,-28.8203012,180.0295173,-28.7707499,2.8e-06,g,18.828,18.817,0.004,0.004,24.325,23.968
39265,60431.04737,181.5037149,-28.7645167,180.0220995,-28.7653775,2.8e-06,r,18.172,18.163,0.003,0.003,23.848,23.822
387449,60432.12667,200.6825245,7.89267,200.2456957,8.9209673,4.44e-05,i,23.214,23.506,0.243,0.242,23.299,23.286
632,60432.96547,138.1759203,10.3996733,137.4652964,10.8432865,1.47e-05,r,23.225,23.22,0.108,0.108,23.861,23.858
632,60432.97628,138.1759203,10.3996733,137.4658845,10.8432421,1.12e-05,i,23.131,23.216,0.104,0.104,23.8,23.797
387449,60434.11094,200.8476207,8.3288768,199.9453867,8.9399213,3.25e-05,r,23.27,23.588,0.184,0.183,23.778,23.767
387449,60434.17898,200.8476207,8.3288768,199.9348792,8.9402914,3.02e-05,r,23.464,23.727,0.179,0.179,23.813,23.801
632,60435.95823,136.7133685,10.5177289,137.6505141,10.8316576,1.94e-05,r,23.261,23.363,0.137,0.137,23.608,23.6
632,60435.96899,136.7133685,10.5177289,137.6511544,10.8316295,1.61e-05,i,22.952,23.242,0.127,0.127,23.584,23.576
39265,60436.11464,178.1673749,-27.4232305,179.2527317,-28.1462601,2.8e-06,r,18.241,18.223,0.002,0.002,24.397,24.379
39265,60436.13886,178.1673749,-27.4232305,179.2492361,-28.1432841,2.8e-06,i,18.054,18.035,0.003,0.002,23.946,23.928
632,60437.02316,138.9314847,10.5647336,137.7208097,10.8260023,1.88e-05,r,23.394,23.142,0.12,0.12,23.777,23.757
632,60437.04691,138.9314847,10.5647336,137.7223385,10.8258388,2.98e-05,i,23.138,23.237,0.177,0.177,23.207,23.187
39265,60452.12449,176.4481133,-25.0336079,177.6061448,-26.2636646,2.9e-06,z,18.291,18.297,0.007,0.007,22.517,22.447
39265,60452.14836,176.4481133,-25.0336079,177.6045073,-26.2610093,3.1e-06,y,18.291,18.279,0.011,0.011,21.809,21.739
39265,60461.07346,178.4695629,-25.9864001,177.2011211,-25.3317113,2.8e-06,i,18.343,18.341,0.004,0.004,23.445,23.418
39265,60461.0977,178.4695629,-25.9864001,177.2004232,-25.3293199,2.9e-06,z,18.396,18.386,0.006,0.006,22.856,22.828
